# T5 -- EPOCH CONTENT FATE LEDGER (coordinate last half). DERIVED, ONE COLUMN OUT-OF-SCOPE (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356c-long-r2.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  replicate target table (R3.3). It is an OBSERVATION accompanying the frozen
#   classification and is read by no limb, step or slot.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# WINDOW: the COORDINATE LAST HALF -- the SAME window the R8.1 walk reads, so this ledger and the walk
#   describe the same rows. One row per epoch observed there as a topgun_or_prune_current_epoch value.
# WHAT THIS LEDGER ANSWERS: which content arrived, when the watermark passed it, whether anything ever
#   drained it, and what the prune attributed. WHAT IT DOES NOT ANSWER: whether that content was ever
#   in the drainable index -- that is T1(a), OUT-OF-SCOPE, owner TODO-634.
# THE COLUMN NAME CARRIES ITS OWN MARKER: indexed_refs_at_lwm_pass__AGGREGATE_NOT_PER_EPOCH is the
#   AGGREGATE index gauge at the first scrape at or after the LWM passed this epoch. It is OUT-OF-SCOPE
#   IN ITS PER-EPOCH FORM and is NOT presented as a per-epoch residency reading. No committed column,
#   and no derivation from committed columns, can attribute a ref to an epoch; producing that is a
#   per-epoch labelled emission on the prune path, a .rs change R0.4 forbids categorically.
# added_bytes IS SAMPLED. It is the delta of topgun_ormap_tombstone_bytes_total across the epoch's
#   currency window, measured from the row immediately PRECEDING the epoch's first scrape. At width
#   1000 an epoch is current for ~31 s ~ 3 scrapes, so boundary attribution carries up to ONE SCRAPE AT
#   EACH END => ~1/3 relative uncertainty. scrapes_in_epoch is published BESIDE it so the reader SEES
#   that uncertainty rather than having to infer it. When no preceding row exists the cell is EMPTY.
# was_drained_ever FOLLOWS A STATED INFERENCE RULE, AND THE ASSUMPTION IS VISIBLE HERE.
#   Drains are read over the FULL LEDGER (the question is "ever", not "in this window"). For a drain
#   bucket whose drain_epochs delta is k: when k == 1 the drained epoch is EXACTLY the bucket's
#   last_drained_epoch and the set is EXACT; when k > 1 THE DRAINED SET IS INFERRED AS THE k EPOCHS
#   ENDING AT last_drained_epoch, WHICH ASSUMES CONTIGUITY. Nothing in the committed surface proves
#   contiguity. Whether the assumption was exercised at all is readable from the d_drain_epochs_sum
#   column of the t2-drains table (SPEC-356b measured 1.000 epoch per drain, i.e. never exercised).
# bytes_freed_attributed IS NOT SPLIT WHEN k > 1: the drain's whole epoch_bytes_freed_sum delta is
#   published against EACH epoch of the inferred k-epoch set, because NO COMMITTED COLUMN LICENSES A
#   SPLIT. It is EMPTY for an epoch nothing ever drained.
# lwm_passed_at_t IS SAMPLED (C1): it is the bucket at which low_water_mark FIRST EXCEEDS this epoch,
#   i.e. the first scrape at or after the advance. EMPTY when the LWM never passed the epoch inside
#   this ledger -- an EMPTY here is "not observed", never "did not happen".
# T1(b) AND T5 ARE ONE OBSERVATION REACHED BY TWO ROUTES wherever current_epoch == low_water_mark: the
#   t1-lwmpass rows are a PROJECTION of these epoch rows, and agreement between the two tables is a
#   RESTATEMENT, NOT CORROBORATION. Whether that identity survives is published, not assumed, on the
#   EQUALITY_RATE line below -- if it breaks, the two tables become independent and the reader must be
#   told which regime is being read. THE EQUALITY RATE FOR THIS REPLICATE IS CARRIED HERE, IN THIS
#   HEADER COMMENT, AND NOWHERE ELSE.
# EQUALITY_RATE current_epoch == low_water_mark: full_ledger=2796/2880=0.970833 coordinate_last_half=1401/1440=0.972917
epoch,t_first_seen,t_last_seen,scrapes_in_epoch,added_bytes,indexed_refs_at_lwm_pass__AGGREGATE_NOT_PER_EPOCH,was_drained_ever,bytes_freed_attributed,lwm_passed_at_t
460,14410,14430,3,19021,1373,false,,14440
461,14440,14460,3,22839,1360,false,,14470
462,14470,14491,3,22931,1334,false,,14500
463,14500,14520,3,21942,1321,false,,14530
464,14530,14550,3,22609,1261,false,,14560
465,14560,14580,3,21827,1254,false,,14590
466,14590,14610,3,22701,1200,false,,14620
467,14620,14640,3,25392,1196,false,,14650
468,14650,14670,3,19619,1193,false,,14680
469,14680,14700,3,21758,1024,false,,14710
470,14710,14730,3,24495,1374,false,,14750
471,14740,14770,4,26795,1368,false,,14780
472,14780,14800,3,22816,1363,false,,14811
473,14811,14830,3,21988,1320,false,,14840
474,14840,14860,3,23092,1322,false,,14870
475,14870,14890,3,21942,1266,false,,14900
476,14900,14920,3,22471,1252,false,,14930
477,14930,14950,3,24541,1203,false,,14960
478,14960,14980,3,20240,1204,false,,14990
479,14990,15011,3,20148,1035,false,,15020
480,15020,15040,3,25898,1024,false,,15050
481,15050,15080,4,26841,1376,false,,15090
482,15090,15110,3,23092,1375,false,,15120
483,15120,15141,3,22862,1329,false,,15150
484,15150,15170,3,21896,1318,false,,15180
485,15180,15200,3,23092,1294,false,,15210
486,15210,15230,3,22126,1287,false,,15240
487,15240,15260,3,22816,1279,false,,15270
488,15270,15290,3,22057,1236,false,,15300
489,15300,15320,3,20677,1136,false,,15330
490,15330,15350,3,24035,1089,false,,15360
491,15360,15380,3,20723,1078,false,,15390
492,15390,15410,3,25875,1414,false,,15430
493,15420,15440,3,20907,1410,false,,15460
494,15450,15480,4,28773,1365,false,,15490
495,15490,15510,3,23023,1370,false,,15520
496,15520,15540,3,21896,1317,false,,15550
497,15550,15570,3,22609,1302,false,,15580
498,15580,15600,3,22816,1141,false,,15610
499,15610,15630,3,19573,1139,false,,15640
500,15640,15660,3,22839,1139,false,,15670
501,15670,15690,3,22218,1105,false,,15700
502,15700,15720,3,26749,1099,false,,15730
503,15730,15750,3,19458,1054,false,,15760
504,15760,15780,3,21620,1055,false,,15790
505,15790,15810,3,25139,1007,false,,15820
506,15820,15850,4,28635,1385,false,,15860
507,15860,15880,3,22149,1343,false,,15890
508,15890,15910,3,19895,1219,false,,15920
509,15920,15940,3,21850,1165,false,,15950
510,15950,15970,3,22908,1161,false,,15980
511,15980,16000,3,26381,1110,false,,16010
512,16010,16030,3,19550,1106,false,,16040
513,16040,16060,3,21482,1091,false,,16071
514,16071,16090,3,23851,1044,false,,16100
515,16100,16120,3,24909,1035,false,,16130
516,16130,16160,4,26220,1356,false,,16170
517,16170,16190,3,22724,1338,false,,16200
518,16200,16220,3,19251,1174,false,,16230
519,16230,16250,3,22448,1166,false,,16260
520,16260,16280,3,22149,1108,false,,16290
521,16290,16310,3,25852,1091,false,,16320
522,16320,16340,3,19159,1427,false,,16360
523,16350,16370,3,21942,1408,false,,16390
524,16380,16410,4,30613,1354,false,,16420
525,16420,16440,3,22632,1337,false,,16450
526,16450,16470,3,21689,1291,false,,16480
527,16480,16500,3,22816,1160,false,,16510
528,16510,16530,3,19021,1110,false,,16540
529,16540,16560,3,22609,1098,false,,16570
530,16570,16590,3,27140,1087,false,,16601
531,16601,16620,3,17641,1429,false,,16640
532,16630,16650,3,22632,1375,false,,16670
533,16660,16690,4,30843,1362,false,,16700
534,16700,16720,3,22724,1343,false,,16730
535,16730,16750,3,21712,1293,false,,16760
536,16760,16780,3,22494,1266,false,,16790
537,16790,16810,3,18952,1091,false,,16820
538,16820,16840,3,22563,1064,false,,16850
539,16850,16870,3,25990,1403,false,,16890
540,16880,16910,4,27209,1386,false,,16920
541,16920,16940,3,21597,1322,false,,16950
542,16950,16970,3,22517,1309,false,,16980
543,16980,17000,3,21965,1253,false,,17010
544,17010,17030,3,22172,1228,false,,17040
545,17040,17060,3,22563,1172,false,,17070
546,17070,17090,3,25875,1167,false,,17100
547,17100,17120,3,16123,1374,false,,17140
548,17130,17160,4,30521,1358,false,,17170
549,17170,17190,3,22402,1290,false,,17200
550,17200,17220,3,21298,1266,false,,17230
551,17230,17250,3,22839,1255,false,,17260
552,17260,17280,3,24219,1187,false,,17290
553,17290,17310,3,19964,1156,false,,17320
554,17320,17340,3,21298,1089,false,,17350
555,17350,17370,3,22126,1439,false,,17390
556,17380,17410,4,27669,1254,false,,17420
557,17420,17440,3,22563,1248,false,,17450
558,17450,17470,3,23874,1191,false,,17480
559,17480,17500,3,20746,1193,false,,17510
560,17510,17530,3,21942,1138,false,,17540
561,17540,17560,3,22494,1120,false,,17570
562,17570,17590,3,25829,1100,false,,17600
563,17600,17620,3,19067,1033,false,,17630
564,17630,17650,3,21597,1011,false,,17660
565,17660,17690,4,30912,1350,false,,17700
566,17700,17720,3,19665,1202,false,,17730
567,17730,17750,3,24495,1147,false,,17760
568,17760,17780,3,19941,1146,false,,17790
569,17790,17810,3,21528,1073,false,,17820
570,17820,17840,3,26956,1060,false,,17850
571,17850,17870,3,21022,1385,false,,17890
572,17880,17910,4,28106,1372,false,,17920
573,17920,17940,3,21344,1310,false,,17950
574,17950,17970,3,22287,1269,false,,17980
575,17980,18000,3,22425,1093,false,,18010
576,18010,18030,3,21298,1068,false,,18040
577,18040,18060,3,20723,1412,false,,18080
578,18070,18100,4,29946,1387,false,,18110
579,18110,18130,3,22494,1312,false,,18140
580,18140,18160,3,21666,1304,false,,18170
581,18170,18190,3,22241,1270,false,,18200
582,18200,18220,3,23667,1212,false,,18230
583,18230,18250,3,20263,1180,false,,18260
584,18260,18280,3,21597,1121,false,,18290
585,18290,18320,4,28543,1361,false,,18330
586,18330,18350,3,21781,1305,false,,18360
587,18360,18380,3,23322,1294,false,,18390
588,18390,18410,3,20884,1227,false,,18420
589,18420,18440,3,22517,1196,false,,18450
590,18450,18470,3,22241,1127,false,,18480
591,18480,18500,3,24035,1102,false,,18510
592,18510,18530,3,20125,1095,false,,18540
593,18540,18560,3,21689,1430,false,,18580
594,18570,18590,3,26703,1008,false,,18600
595,18600,18630,4,23207,1210,false,,18640
596,18640,18660,3,24150,1182,false,,18670
597,18670,18690,3,19665,1117,false,,18700
598,18700,18720,3,22724,1094,false,,18730
599,18730,18750,3,25461,1026,false,,18760
600,18760,18790,4,27002,1383,false,,18800
601,18800,18820,3,21643,1319,false,,18830
602,18830,18850,3,22540,1301,false,,18860
603,18860,18880,3,22149,1213,false,,18890
604,18890,18910,3,21229,1166,false,,18920
605,18920,18940,3,25691,1124,false,,18950
606,18950,18970,3,17043,1438,false,,18990
607,18980,19000,3,22425,1025,false,,19010
608,19010,19040,4,30682,1336,false,,19050
609,19050,19070,3,21574,1280,false,,19080
610,19080,19100,3,21068,1199,false,,19110
611,19110,19130,3,24311,1165,false,,19140
612,19140,19160,3,20286,1106,false,,19170
613,19170,19190,3,21551,1074,false,,19200
614,19200,19230,4,27347,1261,false,,19240
615,19240,19260,3,22287,1243,false,,19270
616,19270,19290,3,23276,1183,false,,19300
617,19300,19320,3,20516,1130,false,,19330
618,19330,19350,3,21942,1092,false,,19360
619,19360,19380,3,25024,1387,false,,19400
620,19390,19420,4,26864,1344,false,,19430
621,19430,19450,3,21321,1279,false,,19460
622,19460,19480,3,22080,1226,false,,19490
623,19490,19510,3,18239,1018,false,,19520
624,19520,19550,4,30728,1382,false,,19560
625,19560,19580,3,21528,1304,false,,19590
626,19590,19610,3,22172,1261,false,,19620
627,19620,19640,3,22103,1189,false,,19650
628,19650,19670,3,21482,1156,false,,19680
629,19680,19700,3,22103,1086,false,,19710
630,19710,19730,3,25668,1066,false,,19740
631,19740,19760,3,19389,1373,false,,19780
632,19770,19800,4,28520,1207,false,,19810
633,19810,19830,3,19481,1174,false,,19840
634,19840,19860,3,21321,1099,false,,19870
635,19870,19890,3,25622,1068,false,,19900
636,19900,19920,3,19136,1379,false,,19940
637,19930,19960,4,30038,1342,false,,19970
638,19970,19990,3,21275,1275,false,,20000
639,20000,20020,3,21804,1210,false,,20030
640,20030,20050,3,21781,1137,false,,20060
641,20060,20080,3,23621,1112,false,,20090
642,20090,20120,4,25438,1299,false,,20130
643,20130,20150,3,22264,1269,false,,20160
644,20160,20180,3,21781,1173,false,,20190
645,20190,20210,3,24265,1114,false,,20220
646,20220,20240,3,19688,1088,false,,20251
647,20251,20270,3,20286,1369,false,,20290
648,20280,20310,4,30498,1293,false,,20320
649,20320,20340,3,20815,1246,false,,20350
650,20350,20370,3,22011,1205,false,,20380
651,20380,20400,3,24127,1104,false,,20410
652,20410,20430,3,18768,1065,false,,20440
653,20440,20470,4,30176,1371,false,,20480
654,20480,20500,3,21804,1313,false,,20510
655,20510,20530,3,21252,1236,false,,20540
656,20540,20560,3,23920,1197,false,,20570
657,20570,20590,3,19320,1125,false,,20600
658,20600,20620,3,21413,1063,false,,20630
659,20630,20660,4,29923,1350,false,,20670
660,20670,20690,3,21873,1313,false,,20700
661,20700,20721,3,19320,1098,false,,20730
662,20730,20750,3,21091,1432,false,,20770
663,20760,20790,4,30199,1346,false,,20800
664,20800,20820,3,21505,1306,false,,20830
665,20830,20850,3,21735,1218,false,,20860
666,20860,20880,3,22793,1160,false,,20890
667,20890,20910,3,19757,1088,false,,20920
668,20920,20950,4,28175,1317,false,,20960
669,20960,20980,3,21896,1281,false,,20990
670,20990,21010,3,17986,1074,false,,21020
671,21020,21040,3,23943,1413,false,,21061
672,21050,21080,4,27945,1325,false,,21090
673,21090,21110,3,22356,1289,false,,21120
674,21120,21140,3,20884,1190,false,,21150
675,21150,21170,3,21689,1144,false,,21180
676,21180,21200,3,23759,1439,false,,21220
677,21210,21230,3,19136,1008,false,,21240
678,21240,21270,4,30981,1311,false,,21280
679,21280,21300,3,20976,1146,false,,21310
680,21310,21330,3,22747,1430,false,,21350
681,21340,21370,4,25806,1380,false,,21380
682,21380,21400,3,21712,1271,false,,21410
683,21410,21430,3,20930,1227,false,,21440
684,21440,21460,3,22103,1188,false,,21470
685,21470,21490,3,22241,1105,false,,21500
686,21500,21520,3,22379,1051,false,,21530
687,21530,21560,4,27876,1340,false,,21570
688,21570,21590,3,21689,1289,false,,21600
689,21600,21620,3,18791,1104,false,,21630
690,21630,21650,3,25346,1041,false,,21660
691,21660,21690,4,25783,1336,false,,21700
692,21700,21720,3,21873,1284,false,,21730
693,21730,21750,3,21045,1191,false,,21760
694,21760,21780,3,21666,1138,false,,21790
695,21790,21811,3,25185,1059,false,,21820
