# T3 -- 1,000 s COORDINATE WINDOWS over the FULL LEDGER. DERIVED (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356c-long-r2.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  replicate target table (R3.3). It is an OBSERVATION accompanying the frozen
#   classification and is read by no limb, step or slot.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# ORIGIN AND TAIL ARE LITERALS, NOT CHOICES.
#   ORIGIN t0 := the ledger's FIRST elapsed_secs value -- which is 10, NOT 0, on every committed cell
#     (the runner's first tick is gated). Window k covers [t0+1000k, t0+1000(k+1)), HALF-OPEN, so no
#     row is in two windows and no row is in none. THE PARTITION IS ON THE COORDINATE, NEVER ON A ROW
#     INDEX, so this table cannot be attacked by a row-count edit.
#   TAIL RULE: window_kind reads FULL when the window's whole nominal width is covered by the ledger
#     (t0+1000(k+1) <= t_last) and PARTIAL otherwise. The PARTIAL window is at most one and always
#     last. It is EMITTED and MARKED, carries its OWN rows and t_hi, and NO RATE IS EVER COMPUTED FROM
#     IT -- dropping the tail silently, or letting it enter a rate, is the inflation this forecloses.
#     FULL rows and PARTIAL rows are graded SEPARATELY, so ">= 28" cannot be satisfied by a short
#     window standing in for a full one.
#   t_lo is the window's NOMINAL half-open lower bound; t_hi is the LAST OBSERVED elapsed_secs inside
#     the window (for the PARTIAL window that is the ledger's own last coordinate).
# DELTAS TELESCOPE ACROSS THE BOUNDARIES: d_X for window k is X at the window's last row minus X at
#   the PREVIOUS window's last row; for window 0 the base is the ledger's own first row. Summed over
#   every window this reproduces X[last] - X[first] exactly, with no row double-counted or dropped.
# d_backlog_bytes IS ADJ-14's NAMED SERIES: d_tombstone_bytes_total - d_bytes_freed_total.
# bytes_freed_per_lwm_epoch is emitted only when d_low_water_mark > 0, and is EMPTY otherwise.
# NO FIT IS TAKEN ON THIS SERIES. Whether the divergence accelerates, is linear, or saturates is a
#   DESCRIPTION OF THE PLOTTED SERIES and explicitly not a fitted claim: no slope, no SE, no r2, no
#   alpha is computed here or downstream of here.
w_index,window_kind,t_lo,t_hi,rows,d_low_water_mark,d_bytes_freed_total,d_tombstone_bytes_total,d_backlog_bytes,d_nonempty_drains,d_empty_drains,d_passes,bytes_freed_per_lwm_epoch
0,FULL,10,1000,100,30,315354,649125,333771,15,30178,30193,10511.800000
1,FULL,1010,2000,100,30,0,665764,665764,0,30230,30230,0.000000
2,FULL,2010,3000,100,31,0,673090,673090,0,30566,30566,0.000000
3,FULL,3010,4000,100,31,0,679624,679624,0,30860,30860,0.000000
4,FULL,4010,5000,100,31,23000,700463,677463,1,31456,31457,741.935484
5,FULL,5010,6000,100,32,0,734045,734045,0,31883,31883,0.000000
6,FULL,6010,7000,100,32,46000,738300,692300,2,32068,32070,1437.500000
7,FULL,7010,8000,100,33,138000,746281,608281,6,32415,32421,4181.818182
8,FULL,8010,9000,100,32,437000,748926,311926,19,32529,32548,13656.250000
9,FULL,9010,10000,100,33,207000,748834,541834,9,32526,32535,6272.727273
10,FULL,10010,11000,100,32,207000,745614,538614,9,32385,32394,6468.750000
11,FULL,11010,12000,100,33,207000,751686,544686,9,32650,32659,6272.727273
12,FULL,12010,13000,100,32,207000,744717,537717,9,32346,32355,6468.750000
13,FULL,13010,14000,100,33,23000,744855,721855,1,32353,32354,696.969697
14,FULL,14010,15000,100,32,0,744395,744395,0,32332,32332,0.000000
15,FULL,15010,16000,100,32,0,743429,743429,0,32291,32291,0.000000
16,FULL,16010,17000,100,32,0,734896,734896,0,31920,31920,0.000000
17,FULL,17010,18000,100,32,0,735862,735862,0,31962,31962,0.000000
18,FULL,18010,19000,100,32,0,730664,730664,0,31736,31736,0.000000
19,FULL,19010,20000,100,32,0,727766,727766,0,31611,31611,0.000000
20,FULL,20010,21000,100,31,0,720705,720705,0,31304,31304,0.000000
21,FULL,21010,22000,100,31,0,710884,710884,0,30875,30875,0.000000
22,FULL,22010,23000,100,31,0,714449,714449,0,31034,31034,0.000000
23,FULL,23010,24000,100,31,0,704444,704444,0,30597,30597,0.000000
24,FULL,24010,25000,100,30,0,686044,686044,0,29798,29798,0.000000
25,FULL,25010,26000,100,29,0,683997,683997,0,29709,29709,0.000000
26,FULL,26010,27000,100,30,0,689977,689977,0,29969,29969,0.000000
27,FULL,27010,28000,100,30,0,688666,688666,0,29913,29913,0.000000
28,PARTIAL,28010,28800,80,24,0,548343,548343,0,23816,23816,0.000000
