# T3 -- 1,000 s COORDINATE WINDOWS over the FULL LEDGER. DERIVED (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356-long.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  REFERENCE ONLY, NEVER EVIDENCE. This file is the R3.5 PRE-DATA dry run: it is built
#   from an ALREADY-COMMITTED prior-arm ledger, it carries that prior arm's basename in its own
#   filename, and NO classification limb, step, slot or target table may ever read it. It exists to
#   prove the builder was exercised over real bytes before the 16 h clock started.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# ORIGIN AND TAIL ARE LITERALS, NOT CHOICES.
#   ORIGIN t0 := the ledger's FIRST elapsed_secs value -- which is 10, NOT 0, on every committed cell
#     (the runner's first tick is gated). Window k covers [t0+1000k, t0+1000(k+1)), HALF-OPEN, so no
#     row is in two windows and no row is in none. THE PARTITION IS ON THE COORDINATE, NEVER ON A ROW
#     INDEX, so this table cannot be attacked by a row-count edit.
#   TAIL RULE: window_kind reads FULL when the window's whole nominal width is covered by the ledger
#     (t0+1000(k+1) <= t_last) and PARTIAL otherwise. The PARTIAL window is at most one and always
#     last. It is EMITTED and MARKED, carries its OWN rows and t_hi, and NO RATE IS EVER COMPUTED FROM
#     IT -- dropping the tail silently, or letting it enter a rate, is the inflation this forecloses.
#     FULL rows and PARTIAL rows are graded SEPARATELY, so ">= 28" cannot be satisfied by a short
#     window standing in for a full one.
#   t_lo is the window's NOMINAL half-open lower bound; t_hi is the LAST OBSERVED elapsed_secs inside
#     the window (for the PARTIAL window that is the ledger's own last coordinate).
# DELTAS TELESCOPE ACROSS THE BOUNDARIES: d_X for window k is X at the window's last row minus X at
#   the PREVIOUS window's last row; for window 0 the base is the ledger's own first row. Summed over
#   every window this reproduces X[last] - X[first] exactly, with no row double-counted or dropped.
# d_backlog_bytes IS ADJ-14's NAMED SERIES: d_tombstone_bytes_total - d_bytes_freed_total.
# bytes_freed_per_lwm_epoch is emitted only when d_low_water_mark > 0, and is EMPTY otherwise.
# NO FIT IS TAKEN ON THIS SERIES. Whether the divergence accelerates, is linear, or saturates is a
#   DESCRIPTION OF THE PLOTTED SERIES and explicitly not a fitted claim: no slope, no SE, no r2, no
#   alpha is computed here or downstream of here.
w_index,window_kind,t_lo,t_hi,rows,d_low_water_mark,d_bytes_freed_total,d_tombstone_bytes_total,d_backlog_bytes,d_nonempty_drains,d_empty_drains,d_passes,bytes_freed_per_lwm_epoch
0,FULL,10,1000,100,32,643714,698328,54614,30,32413,32443,20116.062500
1,FULL,1010,2000,100,32,198000,692274,494274,9,31436,31445,6187.500000
2,FULL,2010,3001,100,31,0,684794,684794,0,31096,31096,0.000000
3,FULL,3010,4000,100,31,0,683452,683452,0,31035,31035,0.000000
4,FULL,4010,5000,100,31,222881,703682,480801,10,31419,31429,7189.709677
5,FULL,5010,6000,100,32,46000,735264,689264,2,31937,31939,1437.500000
6,FULL,6010,7000,100,32,0,732458,732458,0,31814,31814,0.000000
7,FULL,7010,8000,100,32,0,733953,733953,0,31878,31878,0.000000
8,FULL,8010,9000,100,32,0,743084,743084,0,32276,32276,0.000000
9,FULL,9010,10000,100,33,0,744395,744395,0,32333,32333,0.000000
10,FULL,10010,11000,100,32,0,749570,749570,0,32557,32557,0.000000
11,FULL,11010,12000,100,33,0,742509,742509,0,32251,32251,0.000000
12,FULL,12010,13000,100,32,23000,747868,724868,1,32483,32484,718.750000
13,FULL,13010,14000,100,32,23000,742946,719946,1,32270,32271,718.750000
14,PARTIAL,14010,14400,40,13,0,297505,297505,0,12922,12922,0.000000
