# T1(b) -- LWM-PASS LEDGER (coordinate last half). DERIVED (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356-long.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  REFERENCE ONLY, NEVER EVIDENCE. This file is the R3.5 PRE-DATA dry run: it is built
#   from an ALREADY-COMMITTED prior-arm ledger, it carries that prior arm's basename in its own
#   filename, and NO classification limb, step, slot or target table may ever read it. It exists to
#   prove the builder was exercised over real bytes before the 16 h clock started.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# WINDOW: the COORDINATE LAST HALF -- rows whose elapsed_secs EXCEEDS the full ledger's elapsed
#   midpoint. One record per row i of that window at which topgun_or_prune_low_water_mark STRICTLY
#   INCREASES relative to row i-1. Row i-1 is the LEDGER's immediately preceding row, which for the
#   window's first row lies just outside the window; that is the literal reading of R3's derivation
#   and it is what makes the predicate defined for every row of the window.
# WHAT THIS LEDGER ANSWERS: what the AGGREGATE index looked like as the LWM walked past. WHAT IT
#   CANNOT DISTINGUISH: "epoch e's refs were never indexed" from "they were indexed and left the index
#   earlier". T1(a) -- per-epoch index membership -- is OUT-OF-SCOPE (a per-epoch labelled emission on
#   the prune path is a .rs change R0.4 forbids categorically); owner TODO-634. THIS TABLE IS NOT ITS
#   ANSWER and hypothesis (a) is addressed in DIRECTION ONLY.
# refs_per_indexed_epoch IS A MEAN OVER THE INDEX, NOT A PER-EPOCH VALUE. It is indexed_refs divided
#   by indexed_epochs, and it is EMPTY when indexed_epochs = 0.
# EVENTS_IN_BUCKET (C3) is the number of LWM ADVANCE EVENTS attributable to this bucket, read as the
#   delta of topgun_or_prune_lwm_advances_total across (i-1, i]. It is published, never averaged.
#   epochs_passed (lwm_after - lwm_before) is published beside it and is not assumed to be 1.
# The d_*_since_prev_pass columns are deltas since the PREVIOUS ROW OF THIS TABLE (the previous
#   LWM-pass bucket), exact between the two SAMPLED instants. On the first row of the table there is
#   no previous pass, so all three are EMPTY -- never zero, never a substitute.
# T1(b) AND T5 ARE ONE OBSERVATION REACHED BY TWO ROUTES wherever current_epoch == low_water_mark:
#   this table's rows are a PROJECTION of T5's epoch rows, and agreement between the two is a
#   RESTATEMENT, NOT CORROBORATION. The measured equality rate for this replicate is published in the
#   header of the t5-fate table.
t_secs,lwm_before,lwm_after,epochs_passed,current_epoch,indexed_refs,indexed_epochs,refs_per_indexed_epoch,eligible_refs,ineligible_refs,d_tombstone_bytes_since_prev_pass,d_bytes_freed_since_prev_pass,d_nonempty_drains_since_prev_pass,EVENTS_IN_BUCKET
7240,230,231,1,231,1285,2,642.500000,0,1057,,,,1
7270,231,232,1,232,1234,2,617.000000,0,1024,21804,0,0,1
7300,232,233,1,233,1217,2,608.500000,0,1002,22609,0,0,1
7330,233,234,1,234,1164,2,582.000000,0,1038,21781,0,0,1
7360,234,235,1,235,1136,2,568.000000,0,1004,22356,0,0,1
7390,235,236,1,236,1080,2,540.000000,0,1044,21712,0,0,1
7420,236,237,1,237,1055,2,527.500000,0,1016,22425,0,0,1
7460,237,238,1,238,1379,2,689.500000,0,1043,30452,0,0,1
7490,238,239,1,239,1328,2,664.000000,0,1096,21827,0,0,1
7520,239,240,1,240,1191,2,595.500000,0,1026,19872,0,0,1
7550,240,241,1,241,1115,2,557.500000,0,1039,21229,0,0,1
7580,241,242,1,242,1094,2,547.000000,0,1012,22540,0,0,1
7620,242,243,1,243,1434,2,717.000000,0,1054,30820,0,0,1
7650,243,244,1,244,1379,2,689.500000,0,1035,21735,0,0,1
7680,244,245,1,245,1360,2,680.000000,0,1071,22540,0,0,1
7710,245,246,1,246,1306,2,653.000000,0,1051,21758,0,0,1
7740,246,247,1,247,1284,2,642.000000,0,1013,22494,0,0,1
7770,247,248,1,248,1234,2,617.000000,0,1067,21850,0,0,1
7800,248,249,1,249,1221,2,610.500000,0,1044,22747,0,0,1
7830,249,250,1,250,1057,2,528.500000,0,1056,19182,0,0,1
7860,250,251,1,251,1042,2,521.000000,0,1032,22655,0,0,1
7900,251,252,1,252,1387,2,693.500000,0,1004,30935,0,0,1
7930,252,253,1,253,1351,2,675.500000,0,1072,22218,0,0,1
7960,253,254,1,254,1336,2,668.000000,0,1042,22609,0,0,1
7990,254,255,1,255,1294,2,647.000000,0,1032,22057,0,0,1
8020,255,256,1,256,1286,2,643.000000,0,1003,22793,0,0,1
8050,256,257,1,257,1237,2,618.500000,0,1067,21873,0,0,1
8080,257,258,1,258,1221,2,610.500000,0,1031,22632,0,0,1
8110,258,259,1,259,1047,2,523.500000,0,1041,18998,0,0,1
8140,259,260,1,260,1038,2,519.000000,0,1025,22793,0,0,1
8180,260,261,1,261,1382,2,691.000000,0,1074,30912,0,0,1
8210,261,262,1,262,1338,2,669.000000,0,1060,21988,0,0,1
8240,262,263,1,263,1322,2,661.000000,0,1032,22632,0,0,1
8270,263,264,1,264,1268,2,634.000000,0,1013,21758,0,0,1
8300,264,265,1,265,1251,2,625.500000,0,1049,22609,0,0,1
8330,265,266,1,266,1201,2,600.500000,0,1039,21873,0,0,1
8360,266,267,1,267,1190,2,595.000000,0,1074,22724,0,0,1
8390,267,268,1,268,1149,2,574.500000,0,1052,22080,0,0,1
8430,268,269,1,269,1403,2,701.500000,0,1066,28842,0,0,1
8460,269,270,1,270,1357,2,678.500000,0,1040,21919,0,0,1
8491,270,271,1,271,1351,2,675.500000,0,1031,22862,0,0,1
8520,271,272,1,272,1296,2,648.000000,0,1077,21735,0,0,1
8550,272,273,1,273,1246,2,623.000000,0,1057,21850,0,0,1
8580,273,274,1,274,1228,2,614.000000,0,1017,22586,0,0,1
8610,274,275,1,275,1182,2,591.000000,0,1003,21942,0,0,1
8640,275,276,1,276,1168,2,584.000000,0,1047,22678,0,0,1
8670,276,277,1,277,1113,2,556.500000,0,1013,21735,0,0,1
8700,277,278,1,278,1102,2,551.000000,0,1071,22747,0,0,1
8740,278,279,1,279,1322,2,661.000000,0,1008,28060,0,0,1
8770,279,280,1,280,1281,2,640.500000,0,1069,22080,0,0,1
8800,280,281,1,281,1263,2,631.500000,0,1040,22586,0,0,1
8830,281,282,1,282,1220,2,610.000000,0,1034,21988,0,0,1
8860,282,283,1,283,1211,2,605.500000,0,1079,22793,0,0,1
8890,283,284,1,284,1207,2,603.500000,0,1074,22908,0,0,1
8920,284,285,1,285,1163,2,581.500000,0,1058,21988,0,0,1
