# T1(b) -- LWM-PASS LEDGER (coordinate last half). DERIVED (R3.3).
# BUILDER: spec356c-targets.sh -- SPEC-356c R3.4's ONE target builder, committed before the data.
# SUBJECT: spec356c-long-r1.prune.csv    PRIOR-DURATION ARM: spec356-long.prune.csv
# STATUS:  replicate target table (R3.3). It is an OBSERVATION accompanying the frozen
#   classification and is read by no limb, step or slot.
# NOT A PREDICATE: this builder computes no predicate term, reads no threshold, decides nothing
#   and emits no verdict; it alters no Step, threshold, ordering or conditional. A column it
#   cannot compute is emitted EMPTY and never a substitute.
# NO FIT: no OLS fit, no slope, no standard error, no r2, no alpha, no t-statistic and no
#   significance claim is computed on any series in this file.
# (C1) SAMPLED, NOT EVENT-DRIVEN: the ledger scrapes every 10 s while LWM advances ~31 s apart,
#   so every 'at the moment LWM passes' reading here is THE FIRST SCRAPE AT OR AFTER the
#   advance -- a BUCKET, not an instant, carrying up to one cadence of lag.
# (C2) THE ADJ-7 BOUNDARY IS NOT CROSSED: eligible_refs (L) and ineligible_refs (P) are
#   PRE-drain; indexed_refs is POST-drain. No ratio is taken across that boundary anywhere in
#   this file, and the prohibited ratios P/indexed_refs and L/indexed_refs appear NOWHERE.
# (C3) MULTI-EVENT BUCKETS ARE REPORTED, NEVER SMOOTHED: a 10 s bucket carrying more than one
#   event does not separate into its events; the per-bucket event count is published
#   explicitly and is NEVER averaged into a per-event figure.
# UNITS DIFFER ON PURPOSE AND ARE NOT RECONCILED: indexed_refs is a REF COUNT, tombstone_bytes
#   is BYTES. No bytes-per-ref constant is assumed, fitted or implied anywhere in this file.
# The first non-'#' line below is the column header; every line after it is a data row.
# WINDOW: the COORDINATE LAST HALF -- rows whose elapsed_secs EXCEEDS the full ledger's elapsed
#   midpoint. One record per row i of that window at which topgun_or_prune_low_water_mark STRICTLY
#   INCREASES relative to row i-1. Row i-1 is the LEDGER's immediately preceding row, which for the
#   window's first row lies just outside the window; that is the literal reading of R3's derivation
#   and it is what makes the predicate defined for every row of the window.
# WHAT THIS LEDGER ANSWERS: what the AGGREGATE index looked like as the LWM walked past. WHAT IT
#   CANNOT DISTINGUISH: "epoch e's refs were never indexed" from "they were indexed and left the index
#   earlier". T1(a) -- per-epoch index membership -- is OUT-OF-SCOPE (a per-epoch labelled emission on
#   the prune path is a .rs change R0.4 forbids categorically); owner TODO-634. THIS TABLE IS NOT ITS
#   ANSWER and hypothesis (a) is addressed in DIRECTION ONLY.
# refs_per_indexed_epoch IS A MEAN OVER THE INDEX, NOT A PER-EPOCH VALUE. It is indexed_refs divided
#   by indexed_epochs, and it is EMPTY when indexed_epochs = 0.
# EVENTS_IN_BUCKET (C3) is the number of LWM ADVANCE EVENTS attributable to this bucket, read as the
#   delta of topgun_or_prune_lwm_advances_total across (i-1, i]. It is published, never averaged.
#   epochs_passed (lwm_after - lwm_before) is published beside it and is not assumed to be 1.
# The d_*_since_prev_pass columns are deltas since the PREVIOUS ROW OF THIS TABLE (the previous
#   LWM-pass bucket), exact between the two SAMPLED instants. On the first row of the table there is
#   no previous pass, so all three are EMPTY -- never zero, never a substitute.
# T1(b) AND T5 ARE ONE OBSERVATION REACHED BY TWO ROUTES wherever current_epoch == low_water_mark:
#   this table's rows are a PROJECTION of T5's epoch rows, and agreement between the two is a
#   RESTATEMENT, NOT CORROBORATION. The measured equality rate for this replicate is published in the
#   header of the t5-fate table.
t_secs,lwm_before,lwm_after,epochs_passed,current_epoch,indexed_refs,indexed_epochs,refs_per_indexed_epoch,eligible_refs,ineligible_refs,d_tombstone_bytes_since_prev_pass,d_bytes_freed_since_prev_pass,d_nonempty_drains_since_prev_pass,EVENTS_IN_BUCKET
14440,460,461,1,461,1361,2,680.500000,0,1037,,,,1
14470,461,462,1,462,1303,2,651.500000,0,1080,21666,0,0,1
14500,462,463,1,463,1303,2,651.500000,0,1083,23000,0,0,1
14530,463,464,1,464,1276,2,638.000000,0,1041,22379,0,0,1
14560,464,465,1,465,1221,2,610.500000,0,1008,21735,0,0,1
14590,465,466,1,466,1195,2,597.500000,0,1069,22402,0,0,1
14620,466,467,1,467,1141,2,570.500000,0,1030,21758,0,0,1
14650,467,468,1,468,1124,2,562.000000,0,1022,22609,0,0,1
14680,468,469,1,469,1067,2,533.500000,0,1061,21689,0,0,1
14710,469,470,1,470,1031,2,515.500000,0,1017,22172,0,0,1
14750,470,471,1,471,1370,2,685.000000,0,1059,30797,0,0,1
14780,471,472,1,472,1345,2,672.500000,0,1123,22425,0,0,1
14810,472,473,1,473,1278,2,639.000000,0,1074,21459,0,0,1
14840,473,474,1,474,1247,2,623.500000,0,1030,22287,0,0,1
14870,474,475,1,475,1181,2,590.500000,0,1002,21482,0,0,1
14900,475,476,1,476,1159,2,579.500000,0,1045,22494,0,0,1
14930,476,477,1,477,1097,2,548.500000,0,1021,21597,0,0,1
14960,477,478,1,478,1074,2,537.000000,0,1054,22448,0,0,1
15000,478,479,1,479,1390,2,695.000000,0,1028,30268,0,0,1
15030,479,480,1,480,1251,2,625.500000,0,1062,19803,0,0,1
15060,480,481,1,481,1184,2,592.000000,0,1042,21459,0,0,1
15090,481,482,1,482,1171,2,585.500000,0,1003,22701,0,0,1
15120,482,483,1,483,1117,2,558.500000,0,1050,21758,0,0,1
15150,483,484,1,484,1103,2,551.500000,0,1043,22678,0,0,1
15190,484,485,1,485,1420,2,710.000000,0,1077,30291,0,0,1
15220,485,486,1,486,1400,2,700.000000,0,1061,22540,0,0,1
15250,486,487,1,487,1337,2,668.500000,0,1023,21551,0,0,1
15280,487,488,1,488,1306,2,653.000000,0,1075,22287,0,0,1
15310,488,489,1,489,1130,2,565.000000,0,1044,18952,0,0,1
15340,489,490,1,490,1108,2,554.000000,0,1022,22494,0,0,1
15371,490,491,1,491,1087,2,543.500000,0,1066,22540,0,0,1
15410,491,492,1,492,1405,2,702.500000,0,1027,30291,0,0,1
15440,492,493,1,493,1356,2,678.000000,0,1025,21873,0,0,1
15470,493,494,1,494,1333,2,666.500000,0,1047,22471,0,0,1
15501,494,495,1,495,1315,2,657.500000,0,1033,22586,0,0,1
15530,495,496,1,496,1246,2,623.000000,0,1065,21413,0,0,1
15560,496,497,1,497,1222,2,611.000000,0,1048,22448,0,0,1
15590,497,498,1,498,1167,2,583.500000,0,1017,21735,0,0,1
15620,498,499,1,499,1020,2,510.000000,0,1006,19642,0,0,1
15660,499,500,1,500,1345,2,672.500000,0,1042,30452,0,0,1
15690,500,501,1,501,1321,2,660.500000,0,1110,22448,0,0,1
15720,501,502,1,502,1206,2,603.000000,0,1080,20355,0,0,1
15750,502,503,1,503,1179,2,589.500000,0,1045,22379,0,0,1
15780,503,504,1,504,1117,2,558.500000,0,1024,21620,0,0,1
15810,504,505,1,505,1101,2,550.500000,0,1066,22586,0,0,1
15850,505,506,1,506,1414,2,707.000000,0,1044,30199,0,0,1
15870,506,507,1,507,1010,2,505.000000,0,1007,13708,0,0,1
15910,507,508,1,508,1214,2,607.000000,0,1039,27715,0,0,1
15940,508,509,1,509,1162,2,581.000000,0,1051,21781,0,0,1
15970,509,510,1,510,1106,2,553.000000,0,1034,21712,0,0,1
16000,510,511,1,511,1065,2,532.500000,0,1057,22057,0,0,1
16040,511,512,1,512,1369,2,684.500000,0,1005,29992,0,0,1
